h	horas
min	minutos
s	segundos
ms	milissegundos
ns	nanossegundos
μs	microssegundos
t	toneladas
kg	quilos
kg	quilogramas
g	gramas
mg	miligramas
μm	micrômetros
nm	nanômetros
mm	milímetros
cm	centímetros
cm²	centímetros quadrados
cm³	centímetros cúbicos
m	metros
m²	metros quadrados
m³	metros cúbicos
km	quilômetros
km²	quilômetros quadrados
ha	hectares
kph	quilômetros por hora
mph	milhas por hora
m/s	metros por segundo
l	litros
ml	mililitros
kgf	quilogramas força
%	por cento
°F	fahrenheit
°F	graus fahrenheit
°C	graus celsius
Hz	hertz
kHz	quilo hertz
MHz	mega hertz
GHz	giga hertz
W	watts
kW	quilowatts
MW	megawatts
GW	gigawatts
Wh	watts hora
kWh	quilowatts hora
MWh	megawatts hora
GWh	gigawatts hora
kV	quilovolts
V	volts
mV	milivolts
A	amperes
mA	miliamperes
rpm	rotações por minuto
db	decibéis
cal	calorias
kcal	quilocalorias
G	gramas
KG	quilos
KG	quilogramas
KM	quilômetros
M	metros
L	litros
ML	mililitros
M2	metros quadrados
M^2	metros quadrados
C	graus celsius
