€	euro
$	dollar
₩	won
nzd	nyzeeländsk dollar
nz$	nyzeeländsk dollar
rs	rupie
chf	schweizisk franc
fr	franc
dkk	dansk krona
kr	krona
fim	finsk mark
mk	mark
aed	dirham
dh	dirham
dhs	dirham
¥	yen
czk	tjeckisk krona
kč	tjeckisk krona
crc	costaricansk colón
₡	colón
awg	arubansk florin
nok	norsk krone
sek	krona
r$	real
brl	real
esp	peseta
₧	peseta
ptas	peseta
usd	amerikansk dollar
usd$	amerikansk dollar
USD$	amerikansk dollar
aud	australisk dollar
au$	australisk dollar
bsd	bahamansk dollar
bs$	bahamansk dollar
bbd	barbadisk dollar
bds$	barbadisk dollar
bzd	belizisk dollar
bz$	belizisk dollar
bmd	bermudisk dollar
bd$	bermudisk dollar
bnd	bruneisk dollar
b$	bruneisk dollar
kyd	caymansk dollar
ci$	caymansk dollar
fjd	fijidollar
fj$	fijidollar
gyd	guyansk dollar
gy$	guyansk dollar
hkd	hongkongdollar
hk$	hongkongdollar
jmd	jamaicansk dollar
ja$	jamaicansk dollar
cad	kanadensisk dollar
c$	kanadensisk dollar
lrd	liberiansk dollar
lib$	liberiansk dollar
nad	namibisk dollar
n$	namibisk dollar
sbd	salomondollar
si$	salomondollar
sgd	singaporiansk dollar
srd	surinamesisk dollar
twd	taiwanesisk dollar
nt$	taiwanesisk dollar
ttd	trinidaddollar
tt$	trinidaddollar
tuv$	tuvaluansk dollar
zwd	zimbabwisk dollar
z$	zimbabwisk dollar
xcd	östkaribisk dollar
ec$	östkaribisk dollar
krw	sydkoreansk won
svc	salvadoransk colón
₽	rubel
