# Additional currencies are listed below.
# To use them, simply copy them to the main currency_major_plural.tsv file.

AED	dírhams
AFN	afganis
ALL	lekë
AMD	dram armenios
ANG	florines antillanos neerlandeses
AOA	kwanzas
AOK	primeros kwanzas
AON	nuevos kwanzas
AOR	kwanzas reajustados
AUD	dólares australianos
AWG	florines arubeños
AZN	manat azerbaiyanos
BAM	marcos convertibles
BBD	dólares barbadenses
BDT	taka
BGN	levas búlgaras
BHD	dinares bareinís
BIF	francos de burundi
BD$	dólares bermudeños
BND	dólares de brunéi
BOV	bolivianos con mantenimiento de valor respecto al dólar estadounidense
B$	dólares bahameños
BTN	ngultrum
BWP	pula
BYN	rublos bielorrusos
BZ$	dólares beliceños
CAD	dólares canadienses
CDF	francos congoleños
CHE	euros wir
CHW	francos wir
CLF	unidades de fomento
COU	unidades de valor real
CUC	pesos convertibles
CVE	escudos caboverdianos
DJF	francos yibutianos
DKK	coronas danesas
DZD	dinares argelinos
EGP	libras egipcias
ERN	nakfa
ETB	birr etíopes
FJ$	dólares fiyianos
FKP	libras malvinenses
GEL	lari
GHS	cedis ghaneses
GIP	libras de gibraltar
GMD	dalasis
GNF	francos guineanos
GYD	dólares guyaneses
HRK	kuna
HUF	forintos
IDR	rupias indonesias
ILS	nuevos séqueles israelíes
IQD	dinares iraquíes
IRR	riales iraníes
ISK	coronas islandesas
JMD	dólares jamaiquinos
JOD	dinares jordanos
KES	chelines kenianos
KGS	som
KHR	riel
KMF	francos comorenses
KPW	wones norcoreanos
KR	coronas
KWD	dinares kuwaitíes
KYD	dólares de las islas caimán
KZT	tenge
LAK	kip
LBP	libras libanesas
LKR	rupias de sri lanka
LRD	dólares liberianos
LSL	maloti
LYD	dinares libios
MAD	dírhams marroquíes
MDL	lei moldavos
MGA	ariary
MKD	denares
MMK	kyats
₮	tugrik
MOP$	patacas
MRU	uguiya
MUR	rupias de mauricio
MVR	rufiyaa
MWK	kwacha
MXV	unidades de inversión mexicana
MYR	ringgit malayos
MZN	meticales mozambiqueños
NAD	dólares namibios
₦	naira
NOK	coronas noruegas
NPR	rupias nepalíes
NZ$	dólares neozelandeses
OMR	riales omaníes
PGK	kina
₱	pesos filipinos
PKR	rupias pakistaníes
ZŁ	eslotis
QAR	riales cataríes
RON	lei rumanos
RS	rupias
RSD	dinares serbios
RUB	rublos rusos
RWF	francos ruandeses
SAR	riales saudíes
SBD	dólares de las islas salomón
SCR	rupias seychelenses
SDG	libras sudanesas
SEK	coronas suecas
SGD	dólares de singapur
SHP	libras de santa elena
SLL	leones
SOS	chelines somalíes
SRD	dólares surinameses
SSP	libras sursudanesas
STN	dobras
SYP	libras sirias
SZL	emalangeni
฿	baht
TJS	somoni tayikos
TMT	manat turcomanos
TND	dinares tunecinos
TOP	paʻanga
TTD	dólares de trinidad y tobago
TWD	nuevos dólares taiwaneses
TZS	chelines tanzanos
UAH	grivnas
UGX	chelines ugandeses
USN	dólares estadounidenses siguiente día
UYI	pesos uruguayos en unidades indexadas
UYW	unidades previsionales uruguayas
UZS	som uzbekos
₫	dong vietnamitas
VUV	vatu
WST	tala
XAF	francos c f a de áfrica central
XAG	plata
XAU	oro
XCD	dólares del caribe oriental
XDR	derechos especiales de giro
XOF	francos c f a de áfrica occidental
XPD	paladio
XPF	francos c f p
XPT	platino
XSU	sistemas unitarios de compensación regional
XUA	unidades de cuenta del banco africano de desarrollo
YER	riales yemeníes
ZAR	rand
ZMW	kwacha zambianos
ZWL	dólares zimbabuenses
ADF	francos andorranos
ADP	pesetas andorranas
AON	kwanzas angoleños
AOR	kwanzas angoleños reajustados
ARA	australes argentinos
ARC	pesos moneda corriente argentinos
ARF	pesos fuertes argentinos
ARG	pesos oro sellado argentinos
ARL	pesos ley argentinos
ARM	pesos moneda nacional argentinos
ATS	chelines austríacos
BEF	francos belgas
BGL	lev búlgaros
CSK	coronas checoslovacas
CYP	libras chipriotas
DDM	marcos de rda
DEM	marcos alemanes
ECV	unidades de valor constante ecuatorianas
EEK	coronas estonias
EHP	pesetas saharauies
FIM	marcos finlandeses
FRF	francos franceses
GRD	dracmas griegas
IEP	libras irlandesas
ITL	liras italianas
LUF	francos luxemburgueses
MTL	liras maltesas
NLG	florines neerlandeses
PEI	intis
PLZ	eslotis polacos
PTE	escudos portugueses
SIT	tólares eslovenos
SKK	coronas eslovacas
SRG	guilder surinameses
SUR	rublos de la unión soviética
TRL	liras turcas
XEU	unidades monetaria europea
YUD	nuevos dinares yugoslavos
YUM	dinares yugoslavos
ZAL	rands surafricanos código de fondos
ZRN	nuevos zaires
ZRZ	zaires
FR	francos
MK	marcos
KČ	coronas checas
