# Additional currencies are listed below.
# To use them, simply copy them to the main currency_plural_fem.tsv file.

leva búlgara	levas búlgaras
pula	pula
unidad de fomento	unidades de fomento
unidad de valor real	unidades de valor real
corona checa	coronas checas
corona danesa	coronas danesas
libra egipcia	libras egipcias
libra malvinense	libras malvinenses
libra esterlina	libras esterlinas
libra de gibraltar	libras de gibraltar
kuna	kuna
rupia indonesia	rupias indonesias
corona islandesa	coronas islandesas
libra libanesa	libras libanesas
rupia de sri lanka	rupias de sri lanka
pataca	patacas
uguiya	uguiya
rupia de mauricio	rupias de mauricio
unidad de inversión mexicana	unidades de inversión mexicana
rufiyaa	rufiyaa
corona noruega	coronas noruegas
rupia nepalí	rupias nepalíes
rupia pakistaní	rupias pakistaníes
rupia seychelense	rupias seychelenses
libra sudanesa	libras sudanesas
corona sueca	coronas suecas
libra de santa elena	libras de santa elena
libra siria	libras sirias
lira turca	liras turcas
grivna	grivnas
unidad de cuenta del banco africano de desarrollo	unidades de cuenta del banco africano de desarrollo
peseta andorrana	pesetas andorranas
corona checoslovaca	coronas checoslovacas
libra chipriota	libras chipriotas
unidad de valor constante ecuatoriana	unidades de valor constante ecuatorianas
corona estonia	coronas estonias
peseta saharaui	pesetas saharauies
peseta española	pesetas españolas
dracma griega	dracmas griegas
libra irlandesa	libras irlandesas
lira italiana	liras italianas
lira maltesa	liras maltesas
corona eslovaca	coronas eslovacas
lira turca	liras turcas
unidad monetaria europea	unidades monetaria europea
feninga	feninga
poisha	poisha
stotinka	stotinki
piastra	piastras
pesewa	pesewas
pya	pyas
támbala	támbala
corona checa	coronas checas
