dr	dottor
dr.	dottor
Dr.	dottor
dott.	dottor
Dott.	dottor
dott.sa	dottoressa
Dott.sa	dottoressa
prof.	professore
Prof.	professore
proff.	professori
Proff.	professori
prof.ssa	professoressa
Prof.ssa	professoressa
Sig.	signore
Sig.na	signorina
sig.	signore
sig.na	signorina
sig	signore
Sigg.	signori
sigg.	signori
Sig.ri	signori
sig.ri	signori
Sig.re	signore
sig.re	signore
Sig.ra	signora
sig.ra	signora
Sig.re	signorine
sig.re	signorine
Avv.	avvocato
avv.	avvocato
Arch.	architetto
arch.	architetto
Rag.	ragioniere
rag.	ragioniere
Geom.	geometra
geom.	geometra
Ing.	ingegnere
ing.	ingegnere
Ingg.	ingegneri
ingg.	ingegneri
Fam.	famiglia
fam.	famiglia
f.lli	fratelli
F.lli	fratelli
Rev.	reverendo
On.	onorevole
on.	onorevole
Onn.	onorevoli
onn.	onorevoli
Min.	ministro
Sen.	senatore
c.v.d.	come volevasi dimostrare
ecc.	eccetera
ecc	eccetera
v.le	viale
p.za	piazza
l.go	largo
loc.	località
ist.	istituto
segr.	segreteria
set.	settore
uff.	ufficio
dip.	dipartimento
div.	divisione
+	più
